 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   0    0        0 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    7       13  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       15  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  21   21       46  95    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       17  99    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       15  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       16  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       17  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       17  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       16  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       16  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  25   26       53  94    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       17  99    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       13  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       16  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       17  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18       52  96    0.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       16  98    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   8    8       19  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       19  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       18  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18       44  97    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       21  99    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       22  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       30  98    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       22  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   20       60  96    0.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       23  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       20  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       20  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       23  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
