 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   0    0        0 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  67   68      225  79    8.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       77  96    1.16   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   10       58  98    1.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       38  97    1.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   11       24  99    0.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   10       44  97    1.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       34  99    0.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       40  96    1.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       27  99    1.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    9       17  99    0.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   23       73  95    1.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 110  111      243  70   10.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  46   48      172  89    6.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   23      107  95    3.63   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       34 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0        7 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0        8 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  10   11       38  96    1.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       51 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0       48 100    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  96   97      502  27   48.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 119  120      205  81   11.59   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  85   86      246  79    7.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 103  104      327  63   15.85   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  72   73      230  76    9.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  86   86      221  74    8.56   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   45      110  85    3.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       57  97    0.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   11       45  97    0.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  83   83      208  71    8.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    5       55  95    0.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  78   78      194  72    1.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  99   99      208  62    6.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 108  109      218  60    8.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  37   38      125  86    0.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 116  118      281  62   11.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  96   96      346  83    8.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 101  101      394  79    6.75   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  99  101      459  82    5.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  36   35      141  94    1.57   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  21   21      114  96    0.37   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  35   35      107  94    0.52   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   23       82  96    0.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   54       97  93    1.83   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  67   68      287  77   10.48   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  85   86      239  81    6.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 105  105      309  78    7.07   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 100  100      324  71    3.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   32      121  92    1.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   19       43  96    1.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   15       35  97    0.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   17       43  97    0.92   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       39  96    0.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  21   21       37  96    0.92   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       35  98    0.95   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   18       40  97    1.15   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   19       39  96    0.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       36  97    0.92   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   16       35  97    0.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   16       35  97    0.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   18       41  97    0.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  20   20       36  97    0.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   17       39  97    0.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  41   42      135  93    2.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  91   91      314  78    4.58   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 156  158      629  49   26.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  60   60      327  74   12.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   14       91  97    2.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  46   46      248  79   11.62   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 105  106      329  67    4.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 142  144      336  55    9.31   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 149  151      379  52   13.83   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  63   64      172  88    4.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  60   59      176  92    4.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  40   40      101  97    1.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  57   58      133  96    2.94   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  58   58      162  90    3.66   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  51   50      114  93    2.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   54      105  97    2.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   55      103  96    2.02   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   55      112  95    2.57   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  38   38       89  97    1.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  74   75      195  86    4.31   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 140  140      449  71    7.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 171  172      647  62    8.62   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 196  197      696  58    7.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 160  159      501  72    7.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 109  111      327  81    4.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  53   52      145  88    3.07   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  85   86      310  90    3.64   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 106  107      303  79    8.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 135  135      380  63   11.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  71   72      252  81    6.79   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  73   74      233  79    5.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 147  149      507  53   17.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 148  148      540  52   15.33   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 143  144      423  60   12.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 117  118      384  73   10.69   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 157  158      502  60   14.47   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 164  165      461  53   14.95   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 196  199      411  49   17.75   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 157  158      449  55   15.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 111  112      390  70   10.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 159  158      472  68   15.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 147  148      400  59   10.91   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 120  122      352  71    9.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 131  132      299  68    9.32   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 137  137      296  69    9.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 126  128      294  67    9.86   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 145  145      329  68   10.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 126  128      305  67    9.56   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 136  137      327  64   10.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 136  137      308  67    9.96   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 139  140      312  63    9.98   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 130  131      320  67   10.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 127  128      310  68    9.47   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 117  118      291  69    9.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 144  145      283  66    9.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 133  134      284  68    9.63   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 112  114      284  70   10.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 117  117      291  73    9.86   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 134  136      308  66    9.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 123  123      303  72    9.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 140  141      440  67   12.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 123  124      351  68   10.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
